ORI,Name,UCR_OFFENSE,SUB_TOC,SUB_TOC_CODE,MONTH,COUNT,Type,Description,Sub_Description
AZ0072300,Phoenix,120,OTHER_DW,"30,35,50,55,60,65,70",5,25,Violent,Robbery,Other Dangerous Weapon
AZ0072300,Phoenix,120,STRONGARM,40,5,108,Violent,Robbery,"Strong-arm (hands ,fists, feet)"
AZ0072300,Phoenix,120,OTHER ,"85,90,95,99",5,0,Violent,Robbery,Other
AZ0072300,Phoenix,13A,,,5,820,Violent,Aggravated Assault,
AZ0072300,Phoenix,220,,,5,468,Property,Burglary/Breaking and Entering,
AZ0072300,Phoenix,23,,23A-23H,5,2767,Property,Theft,
AZ0072300,Phoenix,240,AUTO,3,5,418,Property,Motor Vehicle Theft,Auto
AZ0072300,Phoenix,240,TRUCK,"5,37",5,146,Property,Motor Vehicle Theft,Trucks and Buses
AZ0072300,Phoenix,240,OTHER,24,5,77,Property,Motor Vehicle Theft,Other Vehicles
AZ0072300,Phoenix,09A,,,6,13,Violent,Murder/Non-negligent Manslaughter,
AZ0072300,Phoenix,09B,,,6,1,Violent,Manslaughter by negliglence,
AZ0072300,Phoenix,11A,,11A-11C,6,84,Violent,Rape,
AZ0072300,Phoenix,120,GUN,"11,12,13,14,15",6,89,Violent,Robbery,Firearm
AZ0072300,Phoenix,120,KNIFE,20,6,34,Violent,Robbery,Knife
AZ0072300,Phoenix,120,OTHER_DW,"30,35,50,55,60,65,70",6,30,Violent,Robbery,Other Dangerous Weapon
AZ0072300,Phoenix,120,STRONGARM,40,6,114,Violent,Robbery,"Strong-arm (hands ,fists, feet)"
AZ0072300,Phoenix,120,OTHER ,"85,90,95,99",6,0,Violent,Robbery,Other
AZ0072300,Phoenix,13A,,,6,805,Violent,Aggravated Assault,
AZ0072300,Phoenix,220,,,6,472,Property,Burglary/Breaking and Entering,
AZ0072300,Phoenix,23,,23A-23H,6,2751,Property,Theft,
AZ0072300,Phoenix,240,AUTO,3,6,443,Property,Motor Vehicle Theft,Auto
AZ0072300,Phoenix,240,TRUCK,"5,37",6,181,Property,Motor Vehicle Theft,Trucks and Buses
AZ0072300,Phoenix,240,OTHER,24,6,47,Property,Motor Vehicle Theft,Other Vehicles
AZ0072300,Phoenix,09A,,,7,21,Violent,Murder/Non-negligent Manslaughter,
AZ0072300,Phoenix,09B,,,7,1,Violent,Manslaughter by negliglence,
AZ0072300,Phoenix,11A,,11A-11C,7,93,Violent,Rape,
